old_file path,new_file path,commit SHA,parent commit SHA,commit message,diff_myers,diff_hist,Matches
manimlib/animation/composition.py,manimlib/animation/composition.py,4e90a77fcdb1a886078561d57fb169d8f552442f,7d1330fa68109b339920aa58b8ecb066c6fa1f09,Change type hint on LaggedStart to accept any functions outputting animations,"[(168, '        anim_func: Callable[[Mobject], Animation],'), (178, '            *(anim_func(submob, **anim_kwargs) for submob in group),')]","[(168, '        AnimationClass: type,'), (178, '            *(AnimationClass(submob, **anim_kwargs) for submob in group),')]",No
manimlib/window.py,manimlib/window.py,d1b1df64a546e7987bf5bc3822800436bdf10b97,4e90a77fcdb1a886078561d57fb169d8f552442f,"Ensure Window's scene always points back to window

Issues can arise in the few milliseconds of startup otherwise.","[(32, '        scene.window = self')]",[],No
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,1844f7fd64157b2638b49704658506c2c0f9759a,66b78d01a9f16b67e99f3c93dc153c777cb58731,Fix for https://github.com/3b1b/manim/issues/1991,"[(547, '        if len(points) == 0:'), (548, '            return False'), (549, '        elif len(points) == 1:')]","[(547, '        if len(points) == 1:')]",No
manimlib/mobject/coordinate_systems.py,manimlib/mobject/coordinate_systems.py,0ce972991be01a59d9186071ac03230887160c82,41f0239e9d5a6868ebb3bb06a45d6527f8b2b4ea,Remove num_axis_pieces arg from ThreeDAxes,[],"[(511, '        num_axis_pieces: int = 20,'), (536, '        for axis in self.axes:'), (537, '            axis.insert_n_curves(num_axis_pieces - 1)')]",No
manimlib/mobject/coordinate_systems.py,manimlib/mobject/coordinate_systems.py,169e7a302b45c6887550c296f03b578ecf942a83,0ce972991be01a59d9186071ac03230887160c82,Give ThreeDAxes flat stroke by default,"[(511, '        flat_stroke: bool = False,'), (536, '        self.set_flat_stroke(flat_stroke)')]",[],No
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,f2c07afe748fdb7b0734b43f7caf5d9bc0aacf72,169e7a302b45c6887550c296f03b578ecf942a83,add 'return self',"[(544, '        return self')]",[],No
manimlib/scene/scene_file_writer.py,manimlib/scene/scene_file_writer.py,ded06c1f888b389c9d31769bda661300f4af3f64,f2c07afe748fdb7b0734b43f7caf5d9bc0aacf72,"Give SceneFileWriter an option for saturation, and set default to 1.7

The colors in a scene can look a little different in a preview window vs. in the rendered file written by ffmpeg. This is mean to bring them closer together.","[(52, '        saturation: float = 1.7'), (71, '        self.saturation = saturation'), (267, ""            '-vf', f'eq=saturation={self.saturation},vflip',"")]","[(265, ""            '-vf', 'vflip',"")]",No
manimlib/scene/scene_file_writer.py,manimlib/scene/scene_file_writer.py,3e3e4de5e9d819658e9d9b39556f38d42b65208d,ded06c1f888b389c9d31769bda661300f4af3f64,Add option for gamma correction to SceneFileWriter,"[(52, '        saturation: float = 1.7,'), (53, '        gamma: float = 1.2,'), (73, '        self.gamma = gamma'), (269, ""            '-vf', f'vflip,eq=saturation={self.saturation}:gamma={self.gamma}',"")]","[(52, '        saturation: float = 1.7'), (267, ""            '-vf', f'eq=saturation={self.saturation},vflip',"")]",No
manimlib/animation/transform.py,manimlib/animation/transform.py,b39fbb62f41fa2f813ac44efb57e45427b306830,3e3e4de5e9d819658e9d9b39556f38d42b65208d,Ensure joint_products are refreshed for _AnimationBuilder,"[(66, '        self.mobject.align_data_and_family(self.target_copy)')]","[(66, '            self.mobject.align_data_and_family(self.target_copy)')]",No
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,b39fbb62f41fa2f813ac44efb57e45427b306830,3e3e4de5e9d819658e9d9b39556f38d42b65208d,Ensure joint_products are refreshed for _AnimationBuilder,"[(902, '            for mob in [self, vmobject]:'), (903, '                mob.get_joint_products()')]",[],No
manimlib/mobject/mobject.py,manimlib/mobject/mobject.py,ad409999dcd06fae8d2c26bd5c40947133ae97af,b39fbb62f41fa2f813ac44efb57e45427b306830,Small tweak,"[(2181, '                ""Method chaining is currently not supported for "" + \\'), (2216, '                ""Animation arguments can only be passed by calling ``animate`` "" + \\')]","[(2181, '                ""Method chaining is currently not supported for ""'), (2216, '                ""Animation arguments can only be passed by calling ``animate`` ""')]",No
manimlib/mobject/mobject_update_utils.py,manimlib/mobject/mobject_update_utils.py,01c51dbc6d7bf66d380bddd0e82679442fd513f8,ad409999dcd06fae8d2c26bd5c40947133ae97af,animation.update_config -> animation.update_rate_info,"[(96, '    animation.update_rate_info(**kwargs)')]","[(96, '    animation.update_config(**kwargs)')]",No
manimlib/config.py,manimlib/config.py,557cb66c52d3cabe19a8013e5edfcd24f86231b8,01c51dbc6d7bf66d380bddd0e82679442fd513f8,Fix transparent background videos,"[(423, '        result[""pixel_format""] = \'\''), (428, '        result[""pixel_format""] = args.pix_fmt')]","[(427, '        result[""pix_fmt""] = args.pix_fmt')]",No
manimlib/scene/scene_file_writer.py,manimlib/scene/scene_file_writer.py,557cb66c52d3cabe19a8013e5edfcd24f86231b8,01c51dbc6d7bf66d380bddd0e82679442fd513f8,Fix transparent background videos,"[(261, ""        vf_arg = 'vflip'""), (262, '        if self.pixel_format.startswith(""yuv""):'), (263, ""            vf_arg += f',eq=saturation={self.saturation}:gamma={self.gamma}'""), (264, ''), (273, ""            '-vf', vf_arg,"")]","[(269, ""            '-vf', f'vflip,eq=saturation={self.saturation}:gamma={self.gamma}',"")]",No
