ld_file path,new_file path,commit SHA,parent commit SHA,commit message,diff_hist¹,old_file_MCC,new_file_MCC
manimlib/mobject/geometry.py,manimlib/mobject/geometry.py,31715ec98a690ff8f18c9e4bf99766f285906925,a17a57825ebc1da53547fd2d9c67603ac6e3116b,Fix Arrow,"{'added': [(839, '        self.add_subpath(points2)'), (855, '            self.get_start().copy(),'), (856, '            self.get_end().copy(),'), (857, '            path_arc=self.path_arc')], 'deleted': [(839, '        self.append_points(points2)'), (852, '        self.refresh_triangulation()'), (856, '            self.get_start().copy(), self.get_end().copy(), path_arc=self.path_arc')]}",140,140
manimlib/mobject/geometry.py,manimlib/mobject/geometry.py,8c435d61819c770706319dbcc72bdce8fff61730,31715ec98a690ff8f18c9e4bf99766f285906925,Default to flat stroke for polygons,"{'added': [(914, '    def __init__('), (915, '        self,'), (916, '        *vertices: Vect3,'), (917, '        flat_stroke: bool = True,'), (918, '        **kwargs'), (919, '    ):'), (920, '        super().__init__(flat_stroke=flat_stroke, **kwargs)')], 'deleted': [(914, '    def __init__(self, *vertices: Vect3, **kwargs):'), (915, '        super().__init__(**kwargs)')]}",140,140
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,f04d0ad3507352d99236715532b1ab3686f4ed67,8c435d61819c770706319dbcc72bdce8fff61730,Update add_cubic_bezier_curve,"{'added': [(447, '        self.add_subpath(get_quadratic_approximation_of_cubic('), (449, '        ))')], 'deleted': [(447, '        new_points = get_quadratic_approximation_of_cubic('), (449, '        )'), (450, '        if not self.consider_points_equal(self.get_last_point(), new_points[0]):'), (451, '            self.start_new_path(new_points[0])'), (452, '        self.append_points(new_points[1:])')]}",259,259
manimlib/shaders/quadratic_bezier_stroke/geom.glsl,manimlib/shaders/quadratic_bezier_stroke/geom.glsl,5a56a2a5ecfd3b205bd1026eb65fbaea0f79eee0,f04d0ad3507352d99236715532b1ab3686f4ed67,Remove bad solution to bevel issue,"{'added': [], 'deleted': [(69, '    // }else if(int(joint_type) == MITER_JOINT || (int(joint_type) == AUTO_JOINT && abs(angle) > 0.95 * PI)){'), (105, '    // This is to prevent weird bevel artifacts for sharp angles'), (106, '    if(abs(angle_from_prev) > 0.5 * PI){'), (107, '        stroke_widths[0] *= sin(angle_from_prev);'), (108, '        stroke_widths[1] = 0.5 * (stroke_widths[0] + stroke_widths[2]);'), (109, '    }'), (110, '    if(abs(angle_to_next) > 0.5 * PI){'), (111, '        stroke_widths[2] *= sin(angle_to_next);'), (112, '        stroke_widths[1] = 0.5 * (stroke_widths[0] + stroke_widths[2]);'), (113, '    }'), (114, '')]}",,
manimlib/mobject/three_dimensions.py,manimlib/mobject/three_dimensions.py,bf84b1933bb0976b41be4d44a2f4561eeb55f42f,5a56a2a5ecfd3b205bd1026eb65fbaea0f79eee0,Remove unnecessary flat stroke specification,"{'added': [], 'deleted': [(39, '        flat_stroke: bool = False,'), (47, '        self.flat_stroke = flat_stroke')]}",30,30
manimlib/mobject/geometry.py,manimlib/mobject/geometry.py,ed26fdfab83403b81e5973dba4df2d2e8405112e,bf84b1933bb0976b41be4d44a2f4561eeb55f42f,Have Polyline default to flat stroke,"{'added': [(973, '    def __init__('), (974, '        self,'), (975, '        *vertices: Vect3,'), (976, '        flat_stroke: bool = True,'), (977, '        **kwargs'), (978, '    ):'), (979, '        super().__init__(flat_stroke=flat_stroke, **kwargs)')], 'deleted': [(973, '    def __init__(self, *vertices: Vect3, **kwargs):'), (974, '        super().__init__(**kwargs)')]}",140,140
manimlib/mobject/geometry.py,manimlib/mobject/geometry.py,1f04ba92fbbdb56dd244a977beeb7fc3b33f661c,ed26fdfab83403b81e5973dba4df2d2e8405112e,Fix Polygon.round_corners,"{'added': [(22, 'from manimlib.utils.space_ops import cross2d'), (939, '            vect1 = normalize(v2 - v1)'), (940, '            vect2 = normalize(v3 - v2)'), (944, '            # Negative radius gives concave curves'), (945, '            sign = float(np.sign(radius * cross2d(vect1, vect2)))'), (947, '                v2 - vect1 * cut_off_length,'), (948, '                v2 + vect2 * cut_off_length,'), (958, '            self.add_subpath(arc1.get_points())'), (959, '            self.add_line_to(arc2.get_start())')], 'deleted': [(938, '            vect1 = v2 - v1'), (939, '            vect2 = v3 - v2'), (940, '            unit_vect1 = normalize(vect1)'), (941, '            unit_vect2 = normalize(vect2)'), (943, '            # Negative radius gives concave curves'), (944, '            angle *= np.sign(radius)'), (947, '            # Determines counterclockwise vs. clockwise'), (948, '            sign = np.sign(np.cross(vect1, vect2)[2])'), (950, '                v2 - unit_vect1 * cut_off_length,'), (951, '                v2 + unit_vect2 * cut_off_length,'), (961, '            self.append_points(arc1.get_points())'), (962, '            line = Line(arc1.get_end(), arc2.get_start())'), (963, '            # Make sure anchors are evenly distributed'), (964, '            len_ratio = line.get_length() / arc1.get_arc_length()'), (965, '            line.insert_n_curves('), (966, '                int(arc1.get_num_curves() * len_ratio)'), (967, '            )'), (968, '            self.append_points(line.get_points())')]}",140,140
manimlib/shaders/quadratic_bezier_stroke/geom.glsl,manimlib/shaders/quadratic_bezier_stroke/geom.glsl,131e1c2eeb5ef1a9a503f97b22e06f4477d3ff55,1f04ba92fbbdb56dd244a977beeb7fc3b33f661c,"Have corners emitted by stroke geom shader better line up with bezier control points

This is helpful for, say, setting variable stroke width","{'added': [(4, 'layout (triangle_strip, max_vertices = 6) out;'), (82, '// emitted as a triangle fan, with vertices vaguely close'), (83, '// to control points so that the passage of vert data to'), (84, '// frag shaders is most natural.'), (85, 'void get_corners('), (91, '    out vec2 corners[6]'), (109, '    // The order of corners should be for a triangle_strip.'), (112, '    vec2 c2 = p1 - 0.5 * (buff0 * p0_perp + buff2 * p2_perp);'), (113, '    // c3 needs to be defined after c5'), (114, '    vec2 c4 = p2 - buff2 * p2_perp;'), (115, '    vec2 c5 = p2 + buff2 * p2_perp;'), (116, '    vec2 c3 = 0.5 * (c1 + c5);'), (120, '    create_joint(angle_to_next, -v12, buff2, c4, c4, c5, c5);'), (122, '    corners = vec2[6](c0, c1, c2, c3, c4, c5);'), (177, '    vec2 corners[6];'), (178, '    get_corners('), (185, '    for(int i = 0; i < 6; i++){'), (186, '        int vert_index = i / 2;'), (188, '        uv_stroke_width = uv_scale_factor * scaled_strokes[vert_index];'), (190, '        vec3 xyz_coords = vec3(corners[i], verts[vert_index].z);'), (192, '            v_color[vert_index],'), (201, '        gl_Position = get_gl_Position(vec3(corners[i], verts[vert_index].z));')], 'deleted': [(4, 'layout (triangle_strip, max_vertices = 5) out;'), (82, '// emitted as a triangle fan'), (83, 'int get_corners('), (89, '    out vec2 corners[5]'), (109, '    vec2 c2 = p2 + buff2 * p2_perp;'), (110, '    vec2 c3 = p2 - buff2 * p2_perp;'), (114, '    create_joint(angle_to_next, -v12, buff2, c3, c3, c2, c2);'), (116, '    // Linear case is the simplest'), (117, '    if(bool(is_linear)){'), (118, '        // The order of corners should be for a triangle_strip.  Last entry is a dummy'), (119, '        corners = vec2[5](c0, c1, c3, c2, vec2(0.0));'), (120, '        return 4;'), (121, '    }'), (122, '    // Otherwise, form a pentagon around the curve'), (123, '    corners = vec2[5](c0, c1, p1, c2, c3);'), (124, '    corners[2] -= buff0 * p0_perp + buff2 * p2_perp;'), (125, '    return 5;'), (180, '    vec2 corners[5];'), (181, '    int n_corners = get_corners('), (187, '    int index_map[5] = int[5](0, 0, 1, 2, 2);'), (188, '    if(n_corners == 4) index_map[2] = 2;'), (189, ''), (191, '    for(int i = 0; i < n_corners; i++){'), (193, '        uv_stroke_width = uv_scale_factor * scaled_strokes[index_map[i]];'), (195, '        vec3 xyz_coords = vec3(corners[i], verts[index_map[i]].z);'), (197, '            v_color[index_map[i]],'), (206, '        gl_Position = get_gl_Position(vec3(corners[i], verts[index_map[i]].z));')]}",,
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,ae42f6244e77d858438af6d0483a4088410f9c19,131e1c2eeb5ef1a9a503f97b22e06f4477d3ff55,Don't use an index buffer for stroke,"{'added': [(1162, '        self.stroke_shader_wrapper.vert_data = self.get_stroke_shader_data()[self.get_outer_vert_indices()]')], 'deleted': [(1143, ""            vert_indices=np.zeros(0, dtype='i4'),""), (1163, '        self.stroke_shader_wrapper.vert_data = self.get_stroke_shader_data()'), (1164, '        self.stroke_shader_wrapper.vert_indices = self.get_outer_vert_indices()')]}",259,259
manimlib/mobject/types/vectorized_mobject.py,manimlib/mobject/types/vectorized_mobject.py,c0b3c246de2965fc847d953a9fe2f0466b8af6f9,ae42f6244e77d858438af6d0483a4088410f9c19,"Revert ""Revert ""Go back to fill shader tracing vertex index manually""""

This reverts commit 387de61119ea13b63d68c8e56a776717b99f2a8c.","{'added': [(60, ""        ('vert_index', np.float32, (1,)),""), (1216, '        points = self.get_points()'), (1217, '        if len(self.fill_data) != len(points):'), (1218, '            self.fill_data = resize_array(self.fill_data, len(points))'), (1219, '            self.fill_data[""vert_index""][:, 0] = range(len(points))'), (1220, '')], 'deleted': [(1215, '        self.fill_data = resize_array(self.fill_data, len(self.get_points()))')]}",260,260
